stage|lat|lon|ele|dist
stage-01|43.09289|-0.04622|406.0|0.0
stage-01|43.09679|-0.04597|404.0|0.43977741586358315
stage-01|43.09987|-0.04521|409.0|0.8202418560212474
stage-01|43.10017|-0.04761|418.0|1.1299577246042025
stage-01|43.1003|-0.05443|406.0|1.709154939329472
stage-01|43.10546|-0.06192|412.0|2.5998055369299546
stage-01|43.10237|-0.07035|397.0|3.473456875587781
stage-01|43.10001|-0.08141|375.0|4.522065092647708
stage-01|43.10075|-0.0905|385.0|5.284938212975827
stage-01|43.10245|-0.10249|389.0|6.309386487556595
stage-01|43.10367|-0.1181|363.0|7.603575068782979
stage-01|43.1019|-0.13024|369.0|8.642712437397465
stage-01|43.10316|-0.1445|365.0|9.856966672511424
stage-01|43.10146|-0.15748|358.0|10.991009671400082
stage-01|43.10361|-0.16138|356.0|11.439699756714502
stage-01|43.10253|-0.17058|342.0|12.232257076072207
stage-01|43.10709|-0.18636|331.0|13.622280790954594
stage-01|43.1216|-0.20083|318.0|15.718032910540632
stage-01|43.12576|-0.20753|306.0|16.504669599646885
stage-01|43.13364|-0.2125|298.0|17.513890099520257
stage-01|43.15119|-0.2243|293.0|19.693236246309343
stage-01|43.14483|-0.23991|298.0|21.260726259497773
stage-01|43.14055|-0.25287|303.0|22.437976580650098
stage-01|43.13835|-0.26019|335.0|23.111573141328623
stage-01|43.13456|-0.27384|328.0|24.39112542153965
stage-01|43.13186|-0.28133|299.0|25.22598668096702
stage-01|43.13112|-0.29336|311.0|26.218805308081212
stage-01|43.12798|-0.30298|312.0|27.195936233732642
stage-01|43.12027|-0.31058|328.0|28.273539436111978
stage-01|43.113|-0.31885|349.0|29.370475833319865
stage-01|43.11032|-0.32434|338.0|30.046101507503764
stage-01|43.10852|-0.3274|335.0|30.429317779231393
stage-01|43.11237|-0.33821|342.0|31.519942384597414
stage-01|43.10855|-0.3493|352.0|32.53760565274633
stage-01|43.10299|-0.35206|365.0|33.24268741049786
stage-01|43.09632|-0.3541|370.0|34.052527630688964
stage-01|43.09277|-0.37027|382.0|35.45118254679133
stage-01|43.09046|-0.38812|414.0|36.9530206081852
stage-01|43.08892|-0.40718|510.0|38.55052953305917
stage-01|43.08837|-0.41425|456.0|39.26014599411979
stage-01|43.08653|-0.41829|422.0|39.71505002282659
stage-01|43.08542|-0.42203|418.0|40.10181932638323
stage-01|43.08515|-0.42468|423.0|40.35559785732256
stage-01|43.0905|-0.42936|421.0|41.10150992493418
stage-01|43.09503|-0.43273|416.0|41.691392119386876
stage-01|43.10143|-0.43443|414.0|42.46612816744441
stage-01|43.105|-0.43704|419.0|42.95880028357199
stage-01|43.10734|-0.4435|399.0|43.596562802250205
stage-01|43.10973|-0.44956|405.0|44.20195074152792
stage-01|43.1097|-0.45507|397.0|44.66589471400226
stage-01|43.11401|-0.46208|395.0|45.444337248250335
stage-01|43.11483|-0.46774|389.0|46.097755622490226
stage-01|43.1179|-0.47103|363.0|46.55170996236231
