stage|lat|lon|ele|dist
stage-01|41.39483|2.16161|55.0|0.0
stage-01|41.3938|2.16026|56.0|0.1606655827497025
stage-01|41.39339|2.15973|57.0|0.2241976335620334
stage-01|41.39264|2.15873|55.0|0.34217662367052143
stage-01|41.39228|2.15824|53.0|0.39950052168745215
stage-01|41.39162|2.15736|52.0|0.5033760951456185
stage-01|41.39145|2.15715|52.0|0.5291765197276828
stage-01|41.3909|2.15641|52.0|0.6161507362440299
stage-01|41.39133|2.15544|54.0|0.7340839306071186
stage-01|41.39219|2.15432|57.0|0.867820175817798
stage-01|41.39318|2.15301|60.0|1.0230176832595663
stage-01|41.3941|2.15178|62.0|1.1679431766784316
stage-01|41.3943|2.15151|64.0|1.199644026395702
stage-01|41.39445|2.15131|65.0|1.2232840707915686
stage-01|41.39437|2.15098|66.0|1.2523002502583798
stage-01|41.39408|2.14981|67.0|1.3551062194548442
stage-01|41.3936|2.14792|68.0|1.521603438457834
stage-01|41.39314|2.14608|67.0|1.6833916710971601
stage-01|41.39291|2.14516|68.0|1.7643000535982425
stage-01|41.39298|2.14486|70.0|1.7991179296018016
stage-01|41.3931|2.14443|71.0|1.8388103266255515
stage-01|41.39295|2.14411|72.0|1.871264313419032
stage-01|41.39281|2.14402|72.0|1.8889717828235453
stage-01|41.39251|2.14377|72.0|1.9306804102241506
stage-01|41.39193|2.14151|71.0|2.1299801178355984
stage-01|41.39148|2.13972|71.0|2.287463819958618
stage-01|41.39088|2.13737|71.0|2.4945561366895324
stage-01|41.39074|2.13683|71.0|2.542230392203119
stage-01|41.38972|2.13283|69.0|2.894664234367355
stage-01|41.38943|2.1317|70.0|2.9943602687357207
stage-01|41.38853|2.12814|71.0|3.307768184681763
stage-01|41.38819|2.12676|68.0|3.4290028066092866
stage-01|41.38794|2.12577|69.0|3.516190078933322
stage-01|41.38736|2.12344|70.0|3.721006284900612
stage-01|41.38771|2.12486|70.0|3.845698270338395
stage-01|41.38795|2.1258|70.0|3.9285613166530187
stage-01|41.38825|2.12702|68.0|4.035703012255616
stage-01|41.38857|2.12828|69.0|4.146742104798342
stage-01|41.38956|2.13222|71.0|4.493377049998209
stage-01|41.39063|2.13639|70.0|4.86109301577751
stage-01|41.39083|2.13718|71.0|4.93065994696497
stage-01|41.39138|2.13936|71.0|5.122525422886135
stage-01|41.39242|2.14342|67.0|5.480420281215672
stage-01|41.3925|2.14391|58.0|5.523063221127512
stage-01|41.39238|2.14433|57.0|5.561961935108157
stage-01|41.39241|2.14475|57.0|5.598004984298434
stage-01|41.39255|2.14493|58.0|5.619887611586661
stage-01|41.39279|2.1452|59.0|5.655653813309297
stage-01|41.39308|2.1464|62.0|5.76085647895034
stage-01|41.3935|2.14806|64.0|5.907245930683806
stage-01|41.39394|2.14976|67.0|6.057293878200931
stage-01|41.39333|2.15055|68.0|6.151879125006356
stage-01|41.39296|2.15104|67.0|6.209912333267238
stage-01|41.39245|2.15171|65.0|6.289559021488991
stage-01|41.39145|2.15306|58.0|6.44783449648604
stage-01|41.39079|2.15394|52.0|6.55163773456083
stage-01|41.38989|2.15512|49.0|6.692028691452948
stage-01|41.38906|2.15621|49.0|6.8216024365495995
stage-01|41.38947|2.15677|51.0|6.888496061647305
stage-01|41.38991|2.15733|52.0|6.956179769548603
stage-01|41.39077|2.15847|52.0|7.091094862044998
stage-01|41.3916|2.15959|52.0|7.222430287617057
stage-01|41.3927|2.16106|52.0|7.395651407888841
stage-01|41.39329|2.16185|51.0|7.488641809718067
stage-01|41.39389|2.16265|51.0|7.583007540963511
stage-02|41.4032|1.97833|87.0|0.0
stage-02|41.40347|1.97661|87.0|0.14684576904313823
stage-02|41.40361|1.97595|88.0|0.20512705797199413
stage-02|41.40476|1.97511|88.0|0.3516273940292311
stage-02|41.40507|1.97498|87.0|0.38793236214455395
stage-02|41.40583|1.97487|86.0|0.473177682448476
stage-02|41.40652|1.97478|86.0|0.5502919273512661
stage-02|41.40724|1.97456|85.0|0.6325860590959352
stage-02|41.40819|1.9742|89.0|0.7424501906064267
stage-02|41.40864|1.97399|94.0|0.7957896815185096
stage-02|41.40886|1.97368|96.0|0.8317791203192566
stage-02|41.40921|1.97298|97.0|0.9019887201512136
stage-02|41.40946|1.97277|95.0|0.9352505241136139
stage-02|41.40986|1.97271|94.0|0.980101779269264
stage-02|41.41019|1.97259|92.0|1.0187098807239008
stage-02|41.41052|1.97209|91.0|1.0746488787687225
stage-02|41.41101|1.97148|92.0|1.1508413341278743
stage-02|41.41153|1.97116|95.0|1.2158755371434502
stage-02|41.41166|1.97063|97.0|1.26370471501418
stage-02|41.41174|1.97021|98.0|1.299978970873366
stage-02|41.41203|1.96959|100.0|1.3609570067687462
stage-02|41.41255|1.96837|104.0|1.478136117723876
stage-02|41.41279|1.96783|107.0|1.5305441526154984
stage-02|41.41333|1.96703|109.0|1.620564987797489
stage-02|41.41344|1.9667|111.0|1.6507911953175196
stage-02|41.4137|1.9656|113.0|1.7469711059432058
stage-02|41.41377|1.9653|114.0|1.7731748583453169
stage-02|41.41413|1.96356|117.0|1.9251708007915704
stage-02|41.41403|1.96278|118.0|1.991305369972653
stage-02|41.41418|1.96096|121.0|2.1442176413711778
stage-02|41.41457|1.96007|124.0|2.231923196395595
stage-02|41.41446|1.95929|126.0|2.298357126854711
stage-02|41.41419|1.95823|127.0|2.3917909437454767
stage-02|41.4141|1.95713|128.0|2.4853342225330786
stage-02|41.41437|1.95621|129.0|2.5679723704746715
stage-02|41.41448|1.95494|132.0|2.6749586850675953
stage-02|41.41467|1.95364|135.0|2.785821627153962
stage-02|41.41495|1.95328|137.0|2.8303400748184777
stage-02|41.41524|1.95306|138.0|2.867703857063061
