stage|lat|lon|ele|dist
stage-01|45.06923|7.7203|222.0|0.0
stage-01|45.07503|7.73047|220.0|1.1240649133418465
stage-01|45.08298|7.72962|219.0|2.122839898833619
stage-01|45.08911|7.73905|218.0|3.1439553659826993
stage-01|45.09323|7.75255|212.0|4.310147679510791
stage-01|45.09843|7.7606|207.0|5.1793360747489
stage-01|45.10297|7.76604|211.0|5.852692405300346
stage-01|45.10751|7.77522|211.0|6.813523916834612
stage-01|45.11756|7.78939|209.0|8.573862614488345
stage-01|45.11917|7.80877|213.0|10.146886561911334
stage-01|45.12428|7.81883|224.0|11.162277588127019
stage-01|45.13004|7.82393|211.0|11.962518708960651
stage-01|45.13692|7.83315|197.0|13.049780131865443
stage-01|45.14717|7.84519|189.0|14.536874020702085
stage-01|45.16838|7.85767|193.0|17.20334118547497
stage-01|45.17589|7.88002|184.0|19.285365971020017
stage-01|45.18241|7.89018|181.0|20.71045636499281
stage-01|45.186|7.88375|179.0|21.5691356732173
stage-01|45.18937|7.87555|182.0|22.643805852142307
stage-01|45.19558|7.88195|187.0|23.744267618501564
stage-01|45.20738|7.87494|192.0|25.18645850017646
stage-01|45.23093|7.86531|208.0|28.017038339675103
stage-01|45.22866|7.89046|211.0|30.049882498842578
stage-01|45.23815|7.89152|215.0|31.209500183242582
stage-01|45.26654|7.89227|235.0|34.39491800189499
stage-01|45.29212|7.89803|261.0|37.617497719859905
stage-01|45.30197|7.88961|276.0|39.0388438904649
stage-01|45.31071|7.88491|293.0|40.3136363425161
stage-01|45.3204|7.878|302.0|41.54400006767603
stage-01|45.32882|7.88274|328.0|42.587859330914824
stage-01|45.33504|7.88974|289.0|43.50077099918386
stage-01|45.34546|7.88538|267.0|44.74200918838808
stage-01|45.35391|7.88346|255.0|45.77408088086239
stage-01|45.36133|7.88016|238.0|46.85837267800956
stage-01|45.37405|7.88053|236.0|48.42138518740387
stage-01|45.38359|7.88537|242.0|49.556612506281965
stage-01|45.40901|7.88211|234.0|52.39776820349717
stage-01|45.42344|7.88975|230.0|54.178244369527796
stage-01|45.44227|7.88375|228.0|56.36445777980313
stage-01|45.45457|7.88683|230.0|57.87341633560133
stage-01|45.46539|7.88973|233.0|59.19397365239693
stage-01|45.46849|7.89664|237.0|59.9249735583896
stage-01|45.46919|7.90185|236.0|60.360761481334514
stage-01|45.46984|7.90889|236.0|60.91942664030841
stage-01|45.47207|7.92827|238.0|62.46285132084517
stage-01|45.47035|7.93606|240.0|63.12518101134247
stage-01|45.47065|7.94824|247.0|64.12073367910526
stage-01|45.47249|7.96099|292.0|65.15654608296852
stage-01|45.46652|7.96882|343.0|66.14212204337974
stage-01|45.4717|7.9653|392.0|67.09736147919396
stage-01|45.4691|7.97081|432.0|67.69501091624262
stage-01|45.47386|7.9676|476.0|68.54030532279778
stage-01|45.47498|7.96897|519.0|69.45388409117118
stage-01|45.46984|7.9826|577.0|70.66664758114071
stage-01|45.47492|7.98209|579.0|71.40081609282996
stage-01|45.4832|7.97244|561.0|72.63167323386963
stage-01|45.48755|7.97814|550.0|73.74217228097517
stage-01|45.48706|7.98896|539.0|74.74751377358486
stage-01|45.4905|7.987|508.0|75.54816500674393
stage-01|45.49294|7.9968|495.0|76.48914555300645
stage-01|45.49588|7.99209|465.0|77.36704502492094
stage-01|45.50144|7.99179|421.0|78.25100649840572
stage-01|45.50427|7.99675|388.0|79.14226297203749
stage-01|45.51535|8.00573|329.0|80.65091943065174
stage-01|45.51989|8.00746|324.0|81.2802597219571
stage-01|45.52421|8.01029|330.0|81.85768954404742
stage-01|45.54312|8.01339|369.0|83.97822275621171
stage-01|45.55371|8.01827|407.0|85.26569007441284
